iter	Passed	Remaining
0	1	138
1	2	127
2	4	132
3	4	119
4	6	117
5	7	113
6	8	110
7	9	108
8	10	106
9	11	104
10	12	103
11	13	101
12	14	99
13	15	98
14	17	96
15	18	95
16	19	94
17	20	94
18	21	93
19	23	92
20	24	90
21	25	88
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	31	81
28	33	80
29	34	80
30	35	79
31	36	78
32	38	77
33	39	75
34	40	74
35	41	73
36	42	72
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	62
45	51	60
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	45
60	69	44
61	70	43
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	109	3
97	110	2
98	111	1
99	112	0
