iter	Passed	Remaining
0	194	194487
1	197	98600
2	200	66584
3	212	52820
4	225	44909
5	228	37780
6	233	33111
7	236	29271
8	238	26226
9	242	24041
10	244	22000
11	247	20349
12	250	18981
13	252	17749
14	323	21246
15	326	20085
16	328	18983
17	330	18034
18	332	17192
19	334	16412
20	336	15706
21	339	15074
22	341	14517
23	343	13965
24	345	13459
25	346	12986
26	349	12602
27	351	12205
28	355	11894
29	465	15065
30	471	14752
31	473	14330
32	475	13936
33	477	13571
34	480	13245
35	489	13109
36	491	12781
37	495	12540
38	498	12293
39	500	12014
40	502	11747
41	503	11491
42	505	11248
43	507	11025
44	521	11076
45	559	11601
46	573	11623
47	575	11409
48	577	11215
49	579	11012
50	581	10817
51	583	10631
52	584	10447
53	587	10299
54	591	10156
55	592	9994
56	594	9839
57	596	9687
58	598	9539
59	603	9451
60	629	9696
61	636	9631
62	639	9515
63	642	9389
64	644	9272
65	646	9143
66	653	9094
67	654	8972
68	657	8865
69	658	8746
70	659	8629
71	662	8539
72	674	8570
73	676	8469
74	678	8366
75	687	8359
76	689	8266
77	691	8169
78	692	8074
79	693	7980
80	695	7895
81	698	7817
82	699	7724
83	700	7637
84	701	7554
85	703	7475
86	704	7396
87	706	7319
88	707	7242
89	708	7166
90	715	7146
91	716	7072
92	717	7000
93	719	6932
94	720	6865
95	721	6798
96	723	6734
97	724	6668
98	731	6654
99	732	6593
100	733	6530
101	734	6468
102	736	6409
103	737	6349
104	738	6291
105	739	6234
106	746	6228
107	747	6173
108	748	6118
109	749	6066
110	751	6016
111	752	5964
112	753	5913
113	754	5863
114	755	5814
115	758	5781
116	759	5733
117	760	5685
118	761	5639
119	762	5594
120	763	5549
121	764	5504
122	766	5462
123	767	5420
124	768	5380
125	771	5349
126	772	5309
127	773	5270
128	775	5233
129	776	5195
130	777	5156
131	778	5119
132	779	5082
133	780	5046
134	782	5011
135	783	4975
136	788	4969
137	790	4935
138	791	4901
139	792	4867
140	793	4836
141	794	4800
142	795	4769
143	797	4740
144	806	4754
145	807	4725
146	809	4698
147	810	4668
148	812	4639
149	813	4609
150	814	4580
151	817	4560
152	819	4533
153	820	4505
154	821	4478
155	822	4450
156	823	4422
157	824	4395
158	825	4368
159	827	4341
160	827	4313
161	828	4287
